id,order_id,product_id,quantity,total,updated_at_x,created_at_x,name,price,status,date,time,weekday,hour
191,79,8,1,60,2025-05-19 16:27:11,2025-05-19 16:27:11,Lunch normal,60,1,2025-05-19,16:27:11,Monday,16
192,79,9,10,150,2025-05-19 16:27:11,2025-05-19 16:27:11,Coffee,15,1,2025-05-19,16:27:11,Monday,16
193,79,15,2,80,2025-05-19 16:27:11,2025-05-19 16:27:11,Fruit,40,1,2025-05-19,16:27:11,Monday,16
194,79,18,1,20,2025-05-19 16:27:11,2025-05-19 16:27:11,Poha,20,1,2025-05-19,16:27:11,Monday,16
195,79,23,1,35,2025-05-19 16:27:11,2025-05-19 16:27:11,Namkeen per plate,35,1,2025-05-19,16:27:11,Monday,16
196,79,27,1,10,2025-05-19 16:27:11,2025-05-19 16:27:11,Tulsi green tea,10,1,2025-05-19,16:27:11,Monday,16
197,79,31,2,80,2025-05-19 16:27:11,2025-05-19 16:27:11,TIKIYA,40,1,2025-05-19,16:27:11,Monday,16
198,80,3,10,100,2025-05-19 16:28:11,2025-05-19 16:28:11,chaii,10,1,2025-05-19,16:28:11,Monday,16
199,80,7,2,20,2025-05-19 16:28:11,2025-05-19 16:28:11,Chach,10,1,2025-05-19,16:28:11,Monday,16
200,80,8,2,120,2025-05-19 16:28:11,2025-05-19 16:28:11,Lunch normal,60,1,2025-05-19,16:28:11,Monday,16
201,80,15,1,40,2025-05-19 16:28:11,2025-05-19 16:28:11,Fruit,40,1,2025-05-19,16:28:11,Monday,16
202,81,3,3,30,2025-05-19 16:28:41,2025-05-19 16:28:41,chaii,10,1,2025-05-19,16:28:41,Monday,16
203,82,3,1,10,2025-05-19 16:29:08,2025-05-19 16:29:08,chaii,10,1,2025-05-19,16:29:08,Monday,16
204,82,18,1,20,2025-05-19 16:29:08,2025-05-19 16:29:08,Poha,20,1,2025-05-19,16:29:08,Monday,16
205,83,3,1,10,2025-05-19 16:29:30,2025-05-19 16:29:30,chaii,10,1,2025-05-19,16:29:30,Monday,16
206,84,20,1,20,2025-05-19 16:30:03,2025-05-19 16:30:03,Oats biscuit per packet,20,1,2025-05-19,16:30:03,Monday,16
207,85,7,1,10,2025-05-19 16:33:23,2025-05-19 16:33:23,Chach,10,1,2025-05-19,16:33:23,Monday,16
208,85,18,1,20,2025-05-19 16:33:23,2025-05-19 16:33:23,Poha,20,1,2025-05-19,16:33:23,Monday,16
209,85,32,1,20,2025-05-19 16:33:23,2025-05-19 16:33:23,DAHI KATORI,20,1,2025-05-19,16:33:23,Monday,16
210,86,7,1,10,2025-05-19 16:33:53,2025-05-19 16:33:53,Chach,10,1,2025-05-19,16:33:53,Monday,16
211,86,18,1,20,2025-05-19 16:33:53,2025-05-19 16:33:53,Poha,20,1,2025-05-19,16:33:53,Monday,16
212,86,31,1,40,2025-05-19 16:33:53,2025-05-19 16:33:53,TIKIYA,40,1,2025-05-19,16:33:53,Monday,16
213,87,15,1,40,2025-05-19 16:34:43,2025-05-19 16:34:43,Fruit,40,1,2025-05-19,16:34:43,Monday,16
214,87,18,1,20,2025-05-19 16:34:43,2025-05-19 16:34:43,Poha,20,1,2025-05-19,16:34:43,Monday,16
